,dropout,dropout,laplace,laplace,scoring-rule-dropout,scoring-rule-dropout,scoring-rule-reparam,scoring-rule-reparam
Statistic,Mean,Std,Mean,Std,Mean,Std,Mean,Std
CRPSValidation,0.012575000524520874,0.00018119964806828648,0.012662500143051147,0.0012092799879610538,0.012260000221431255,8.660239109303802e-05,0.013584999367594719,0.00036299650673754513
Gaussian NLLValidation,-1.3247325420379639,0.06211123988032341,19.73822593688965,8.834762573242188,-2.4207732677459717,0.011928794905543327,818.0733032226562,999.0238647460938
CoverageValidation,0.6380324959754944,0.00597677007317543,0.4563625156879425,0.07975621521472931,0.9668799638748169,0.0005400976515375078,0.7790549993515015,0.0325348861515522
IntervalWidthValidation,0.035875000059604645,0.00011818080383818597,0.034380000084638596,0.014777966775000095,0.09994000196456909,0.0013078231131657958,0.05821000039577484,0.002239448484033346
MSETest,0.024044999852776527,5.802297164336778e-05,0.02692749910056591,0.0015717166243121028,0.024240000173449516,3.4641816455405205e-05,0.024102499708533287,0.00011870807793457061
EnergyScoreTest,0.020179999992251396,4.163408448221162e-05,0.019622500985860825,0.0005702269845642149,0.017373332753777504,1.5275063560693525e-05,0.018702499568462372,0.0001117655701818876
CRPSTest,0.021447500213980675,6.075916098779999e-05,0.02105250023305416,0.0003808207984548062,0.0187133327126503,7.09451487637125e-05,0.020442500710487366,0.0004145179991610348
Gaussian NLLTest,2.3623275756835938,0.023719919845461845,52.45366668701172,25.007911682128906,-1.9636067152023315,0.006314302794635296,616.9846801757812,1221.7293701171875
CoverageTest,0.4456225037574768,0.0014887775760143995,0.34637999534606934,0.08548180013895035,0.8636866807937622,0.002066463464871049,0.6535900235176086,0.022201672196388245
IntervalWidthTest,0.03514000028371811,0.00013316678814589977,0.0341624990105629,0.014720138162374496,0.09789666533470154,0.0011316068703308702,0.05764000117778778,0.0022369760554283857
